Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2008;"Supporting and auxiliary transport activities; activities of travel agencies";Furniture;4021.0
2008;Post and telecommunications;Land and Buildings;201601.0
2008;Post and telecommunications;Other Equipment;1018847.0
2008;Financial intermediation;Furniture;398687.0
2008;Insurance and pension funding, except compulsory social security;Furniture;25311.0
2008;Renting of machinery and equipment without operator and of personal and household goods;Transportation Equipment;159266.0
2008;Computer and related activities;Other assets;6834.0
2008;Computer and related activities;Land and Buildings;35543.0
2008;Research and development;Transportation Equipment;0.0
2008;Research and development;Other Equipment;0.0
2008;Activities, business services;Other Equipment;240680.0
2009;Forestry and logging;Other assets;0.0
2009;Fishing;Other Equipment;10122.0
2009;Exploration of oil and natural gas;Total;58178579.0
2009;Exploration of oil and natural gas;Other Equipment;55050637.0
2009;Activities for mining and quarrying;Transportation Equipment;36846.0
2009;Activities for mining and quarrying;Total;1068217.0
2009;Manufacture of food prod. and beverages;Transportation Equipment;340054.0
2009;Manufacture of textiles;Land and Buildings;3464.0
2009;Manufacture of textiles;Total;128168.0
2009;Manufacture of textiles;Other Equipment;80688.0
2009;"Tanning and dressing of leather; manufacture of luggage and footwear";Land and Buildings;257.0
2009;Manufacture of wood and of products of wood and cork;Transportation Equipment;7522.0
2009;Manufacture of wood and of products of wood and cork;Total;114601.0
2009;Manufacture of wood and of products of wood and cork;Other Equipment;29963.0
2009;Manufacture of wood and of products of wood and cork;Furniture;1868.0
2009;Printing & Publishing;Land and Buildings;217504.0
2009;Printing & Publishing;Transportation Equipment;6812.0
2009;Products of refined petroleum;Transportation Equipment;20545.0
2009;Products of refined petroleum;Furniture;810.0
2009;Manufacture of chemicals , Articles and  products;Transportation Equipment;65983.0
2009;Manufacture of chemicals , Articles and  products;Total;1730793.0
2009;Manufacture of chemicals , Articles and  products;Other Equipment;830229.0
2009;Manufacture of chemicals , Articles and  products;Furniture;38814.0
2009;Manufacture of rubber and plastics products;Furniture;49454.0
2009;Manufacture of basic metals;Total;466387.0
2009;Manufacture of basic metals;Other Equipment;137553.0
2009;Manufacture of basic metals;Furniture;4909.0
2009;Manufacture of fabricated metal products;Land and Buildings;125441.0
2009;Manufacture of fabricated metal products;Transportation Equipment;41653.0
2009;Manufacture of machinery and equipment;Other assets;126438.0
2009;Manufacture of machinery and equipment;Transportation Equipment;25599.0
2009;Manufacture of office, accounting and computing machinery;Land and Buildings;0.0
2009;Manufacture of electrical machinery and apparatus;Transportation Equipment;41181.0
2009;Manufacture of radio, television and communication equipment and apparatus;Land and Buildings;0.0
2009;Manufacture of radio, television and communication equipment and apparatus;Other Equipment;1835.0
2009;Manufacture of radio, television and communication equipment and apparatus;Furniture;415.0
